DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/1/17,11:24,BRONX,10462,40.834076,-73.85282,"(40.834076, -73.85282)",PURDY STREET                    ,WESTCHESTER AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3785890,PASSENGER VEHICLE,,,,
11/1/17,11:29,BRONX,10465,40.8199,-73.817764,"(40.8199, -73.817764)",,,4018A     EAST TREMONT AVENUE           ,0,0,0,0,0,0,0,0,Driverless/Runaway Vehicle,,,,,3782137,,,,,
11/1/17,11:29,QUEENS,11423,40.711884,-73.781204,"(40.711884, -73.781204)",89 AVENUE                       ,181 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3782798,PASSENGER VEHICLE,,,,
11/1/17,11:30,BROOKLYN,11233,40.6715,-73.91505,"(40.6715, -73.91505)",EASTERN PARKWAY                 ,PARK PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781450,PASSENGER VEHICLE,TK,,,
11/1/17,11:30,BROOKLYN,11233,40.671898,-73.92231,"(40.671898, -73.92231)",RALPH AVENUE                    ,PARK PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3784479,SPORT UTILITY / STATION WAGON,LL,,,
11/1/17,11:30,MANHATTAN,10007,40.712532,-74.007675,"(40.712532, -74.007675)",BROADWAY                        ,PARK PLACE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3783477,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,11:30,MANHATTAN,10011,40.739506,-73.99109,"(40.739506, -73.99109)",,,150       5 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781812,SPORT UTILITY / STATION WAGON,TK,,,
11/1/17,11:30,STATEN ISLAND,10310,40.636955,-74.11755,"(40.636955, -74.11755)",BROADWAY                        ,HENDERSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781643,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,11:30,MANHATTAN,10017,40.75125,-73.97765,"(40.75125, -73.97765)",,,107       EAST 41 STREET                ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3781684,SPORT UTILITY / STATION WAGON,,,,
11/1/17,11:30,,,40.680313,-73.94332,"(40.680313, -73.94332)",DECATUR STREET                  ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3781206,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,11:34,MANHATTAN,10001,40.753387,-73.99631,"(40.753387, -73.99631)",WEST 34 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Passing or Lane Usage Improper,,,,3784390,PASSENGER VEHICLE,TK,,,
11/1/17,11:35,,,40.596096,-73.90594,"(40.596096, -73.90594)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3781468,VAN,SPORT UTILITY / STATION WAGON,,,
11/1/17,11:35,BROOKLYN,11217,40.681522,-73.983284,"(40.681522, -73.983284)",3 AVENUE                        ,BALTIC STREET,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,3781743,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,11:38,BROOKLYN,11207,40.679466,-73.90037,"(40.679466, -73.90037)",,,1700      BUSHWICK AVENUE               ,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,3781759,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,BU,,
11/1/17,11:40,STATEN ISLAND,10305,40.61678,-74.06811,"(40.61678, -74.06811)",,,1071      BAY STREET                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781630,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,11:40,,,40.729553,-73.91188,"(40.729553, -73.91188)",58 STREET                       ,BORDEN AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3781258,SPORT UTILITY / STATION WAGON,CM,,,
11/1/17,11:50,BROOKLYN,11230,40.63524,-73.967636,"(40.63524, -73.967636)",18 AVENUE                       ,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781816,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,12:00,BRONX,10473,40.82433,-73.874374,"(40.82433, -73.874374)",BRUCKNER BOULEVARD              ,STRATFORD AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3785679,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,12:00,BROOKLYN,11201,40.695385,-73.98324,"(40.695385, -73.98324)",,,301       GOLD STREET                   ,0,0,0,0,0,0,0,0,,,,,,3781374,PASSENGER VEHICLE,,,,
11/1/17,12:00,BROOKLYN,11208,40.672497,-73.87386,"(40.672497, -73.87386)",,,1197      SUTTER AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3781860,PASSENGER VEHICLE,,,,
11/1/17,12:00,QUEENS,11413,40.67813,-73.7521,"(40.67813, -73.7521)",,,218-18    135 AVENUE                    ,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3781392,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/1/17,12:00,QUEENS,11434,40.65933,-73.77273,"(40.65933, -73.77273)",,,167-21    PORTER ROAD                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781394,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/1/17,12:00,QUEENS,11436,,,,135 AVENUE                      ,143 street,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781516,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,12:00,STATEN ISLAND,10304,40.630302,-74.08141,"(40.630302, -74.08141)",SAINT PAULS AVENUE              ,CEBRA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781647,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
